"x"
"1" "D1"
"2" "P"
"3" "P"
"4" "D1"
"5" "D1"
"6" "P"
"7" "D2"
"8" "P"
"9" "D2"
"10" "P"
"11" "D2"
"12" "D2"
"13" "D2"
"14" "P"
"15" "D2"
"16" "P"
"17" "P"
"18" "D2"
"19" "D1"
"20" "D2"
"21" "P"
"22" "D1"
"23" "D1"
"24" "P"
"25" "D1"
"26" "D1"
"27" "D2"
"28" "D1"
"29" "D1"
"30" "P"
"31" "D2"
"32" "D2"
"33" "D1"
"34" "P"
"35" "P"
"36" "D1"
"37" "D1"
"38" "D1"
"39" "D2"
"40" "D1"
"41" "P"
"42" "P"
"43" "D1"
"44" "P"
"45" "D1"
"46" "D1"
"47" "D1"
"48" "D2"
"49" "P"
"50" "D2"
"51" "D2"
"52" "P"
"53" "P"
"54" "D1"
"55" "D1"
"56" "D1"
"57" "D2"
"58" "P"
"59" "P"
"60" "P"
"61" "P"
"62" "D1"
"63" "D2"
"64" "D1"
"65" "D2"
"66" "D2"
"67" "D1"
"68" "D2"
"69" "D2"
"70" "D1"
"71" "P"
"72" "P"
"73" "P"
"74" "P"
"75" "D2"
"76" "D2"
"77" "D1"
"78" "D2"
"79" "P"
"80" "D2"
"81" "P"
"82" "D1"
"83" "D2"
"84" "P"
"85" "P"
"86" "P"
"87" "D2"
"88" "D1"
"89" "P"
"90" "D2"
"91" "D1"
"92" "D2"
"93" "P"
"94" "D2"
"95" "D1"
"96" "D2"
"97" "D1"
"98" "D2"
"99" "D1"
"100" "D2"
